Proper Name,Proprietary Name,BLA Number,Category,Subcategory,Primary Indication,Rationale,Long-term Use
ofatumumab,Kesimpta,125326,CHRONIC,Autoimmune biologic,Relapsing MS,Anti-CD20; self-administered monthly for long-term MS control,YES
"Influenza Vaccine, Adjuvanted","Fluad,Fluad Quadrivalent",125510,PERIODIC,Vaccine,Influenza prevention,Annual vaccination; not chronic daily medication,YES
Coagulation Factor VIIa (Recombinant),Sevenfact,125641,PERIODIC,Coagulation factor,Hemophilia A/B with inhibitors / rare bleeding,Factor VIIa (NovoSeven/Sevenfact); on-demand for bleeds or prophylaxis; hemophilia care is lifelong,YES
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",Audenz,125692,ONE-TIME,Vaccine,H5N1 pandemic influenza prevention,Pre-pandemic stockpile vaccine; 2-dose primary series,NO
Peanut (Arachis hypogaea) Allergen Powder,Palforzia,125696,LONG-TERM,Allergen immunotherapy,Peanut allergy desensitization,Daily oral immunotherapy; 3+ years of build-up and maintenance,YES
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",Menquadfi,125701,ONE-TIME,Vaccine,Meningococcal disease prevention,Primary series ± booster; not chronic,NO
Brexucabtagene Autoleucel,Tecartus,125703,ONE-TIME,CAR-T cell therapy,Mantle cell lymphoma / B-ALL,Single CAR-T infusion after lymphodepletion,NO
emapalumab,Gamifant,761107,SHORT,Anti-IFN-γ antibody,Primary hemophagocytic lymphohistiocytosis (HLH),"Used until HSCT conditioning; weeks to months, not indefinite",NO
satralizumab-mwge,Enspryng,761149,CHRONIC,Autoimmune biologic,NMOSD (AQP4-IgG positive),IL-6R inhibitor; NMOSD relapses require indefinite prevention,YES
somapacitan,Sogroya,761156,CHRONIC,Growth hormone analog,Adult GHD / pediatric GHD,Weekly GH analog; adult GHD may require lifelong replacement,YES
belantamab mafodotin,Blenrep,761158|761440,LONG-TERM,ADC (anti-BCMA),Relapsed/refractory myeloma,Every 3 weeks until progression; reversible corneal toxicity limits duration,YES
tafasitamab-cxix,Monjuvi,761163,LONG-TERM,Anti-CD19 + lenalidomide,Relapsed/refractory DLBCL,Induction + maintenance dosing until progression,YES
rituximab,Riabni,761140,LONG-TERM,Anti-CD20,NHL / CLL / RA / pemphigus / MS,Lymphoma maintenance: 2 years; RA/MS: indefinite; CLL: until progression,YES
margetuximab-cmkb,Margenza,761150,LONG-TERM,HER2 inhibitor,HER2+ metastatic breast cancer,Until disease progression in metastatic setting,YES
ansuvimab-zykl,Ebanga,761172,SHORT,Monoclonal antibody,Ebola virus disease,Single IV infusion for acute Ebola infection,NO
adalimumab,Hulio|Yusimry|Hadlima|Idacio|Hyrimoz|Amjevita|Yuflyma|Simlandi|Cyltezo,761154|761216|761059|761255|761071|761024|761219|761299|761058,CHRONIC,Autoimmune biologic,RA / psoriasis / IBD / AS / uveitis,TNF inhibitor for multiple chronic autoimmune diseases; discontinuation causes relapse,YES
"pertuzumab, trastuzumab, and hyaluronidase",Phesgo,761170,LONG-TERM,HER2 inhibitor combination,HER2+ breast cancer,Adjuvant: 1 year; metastatic maintenance until progression,YES
collagenase clostridium histolyticum,Qwo,761146,SHORT,Collagenase enzyme,Dupuytren's / Peyronie's disease,1-3 injection sessions; limited course,NO
epoetin alfa,Retacrit,125545,CHRONIC,Erythropoiesis-stimulating agent,Anemia (CKD / oncology),EPO replacement; CKD anemia is permanent; ongoing dosing,YES
dupilumab,Dupixent,761055,CHRONIC,Autoimmune biologic,Atopic dermatitis / asthma / CRSwNP / EoE / PN,IL-4Rα inhibitor; type-2 inflammation requires indefinite control,YES
insulin lispro,Lyumjev|Humalog,761109|205747,CHRONIC,Insulin,Diabetes mellitus (T1D/T2D),Insulin replacement; lifelong daily dosing,YES
pegfilgrastim,Nyvepria|Fylnetra|Stimufend|Udenyca|Udenyca Onbody|Armlupeg,761111|761084|761173|761039|761212,PERIODIC,G-CSF,Chemotherapy-induced neutropenia,Each chemo cycle gets one dose; long-term only while on chemo,YES
