Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Purple Book,adalimumab,Humira / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite (lifelong maintenance)
Purple Book,adalimumab,Humira / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Ankylosing spondylitis / axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Juvenile idiopathic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,10–20 mg SC (weight-based),Every 2 weeks,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Ankylosing spondylitis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Juvenile idiopathic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,0.8 mg/kg SC (max 50 mg),Once weekly,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"3 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Ankylosing spondylitis / axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 6 weeks (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,adalimumab,Humira / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"80 mg SC (wk 0), then 40 mg (wk 1), then 40 mg",Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Hidradenitis suppurativa,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"160 mg SC (day 1), 80 mg (day 15), then 40 mg",Weekly,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Non-infectious uveitis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"80 mg SC (wk 0), then 40 mg (wk 1), then 40 mg",Every 2 weeks,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Fusion Protein,TNF,3.5,"50 mg SC twice weekly ×12 wks (induction), then 50 mg",Once weekly (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,8.99,"160 mg SC (wk 0), 80 mg (wk 2), then 40 mg",Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,8.99,"160 mg SC (wk 0), 80 mg (wk 2), then 40 mg",Every 2 weeks,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,efgartigimod alfa-fcab,Vyvgart,Generalized myasthenia gravis (gMG),Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,10 mg/kg IV weekly ×4 doses per cycle,Repeat cycles every 4–8 weeks based on response,Indefinite cycling
Purple Book,efgartigimod alfa and hyaluronidase,Vyvgart Hytrulo,Generalized myasthenia gravis,Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,"1000 mg/11,250 U SC weekly ×4 per cycle",Repeat cycles every 4–8 weeks,Indefinite
Purple Book,rozanolixizumab,Rystiggo,Generalized myasthenia gravis,Neurology – Neuromuscular,Monoclonal Antibody,FCGRT,0.1,7 mg/kg SC weekly ×6 weeks per cycle,Repeat cycles as needed,Indefinite
Purple Book,nipocalimab,Imaavy,Generalized myasthenia gravis,Neurology – Neuromuscular,Monoclonal Antibody,FCGRT,0.05,30 mg/kg IV loading; then 15 mg/kg,Every 2 weeks,Indefinite
Purple Book,anifrolumab,Saphnelo,Systemic lupus erythematosus (SLE),Autoimmune – Rheumatology,Monoclonal Antibody,IFNAR1,0.5,300 mg IV,Every 4 weeks,Indefinite
