Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use,Amino Acid Length,Molecular Weight (Da),AAV Suitability,AAV Rationale
Purple Book,ropeginterferon alfa-2b-njft,Besremi,Polycythemia vera (PV),Hematology – Myeloproliferative,Enzyme / Protein Replacement,"IFNAR1, IFNAR2",0.2,100–500 mcg SC (titrated),Every 2 weeks,Indefinite,165,60000,Medium,"IFN-alpha-2b (~0.5 kb) is small and encodable and PEG only extends half-life, but continuous systemic interferon expression raises tolerability concerns."
Purple Book,"antihemophilic factor (recombinant), rAHF",Advate / Kogenate / Kovaltry,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.8,20–40 IU/kg IV,Every 2–3 days,Lifelong,2332,280000,Medium,"Hemophilia A is a validated AAV target (FDA-approved Roctavian), but full-length Factor VIII (~7 kb) exceeds AAV capacity and requires a B-domain-deleted construct (~4.4 kb) to fit."
Purple Book,"antihemophilic factor (recombinant), pegylated-aucl",Adynovate / Jivi,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.5,40–60 IU/kg IV,Twice weekly,Lifelong,2332,300000,Low,Full-length Factor VIII (~7 kb) exceeds AAV capacity and the PEGylation cannot be gene-encoded.
Purple Book,"coagulation factor ix (recombinant), glycopegylated",Rebinyn / Refixia,Hemophilia B (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F9,0.4,40 IU/kg IV,Once weekly,Lifelong,415,98000,High,Factor IX (~1.4 kb) is the gold-standard AAV target (FDA-approved Hemgenix); the marketed glyco-PEGylation is only a half-life add-on AAV makes unnecessary.
Purple Book,coagulation factor viia (recombinant),Sevenfact / NovoSeven,Hemophilia A/B with inhibitors (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.4,90 mcg/kg IV q2h until hemostasis (acute); prophylaxis varies,Per bleed (on-demand); prophylaxis daily/twice weekly,Lifelong (on-demand or prophylaxis),406,50000,High,Factor VII/VIIa (~1.4 kb); a small secreted clotting factor comfortably within AAV capacity and mechanism-compatible.
Purple Book,coagulation factor viia (recombinant)-jncw,Alhemo / Pfizer rFVIIa,Hemophilia A/B with inhibitors,Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.1,Varies by indication,Daily to weekly SC (prophylaxis),Lifelong,406,50000,High,"Factor VII/VIIa (~1.4 kb); small secreted clotting factor well within AAV capacity, no chemical modification."
Purple Book,epoetin alfa,Epogen / Procrit,Anemia of chronic kidney disease (dialysis),Hematology – Anemia,Enzyme / Protein Replacement,EPOR,1,50–300 IU/kg IV/SC,3 times per week,Indefinite (until transplant or change in therapy),165,30400,High,Recombinant erythropoietin (~0.5 kb); AAV-EPO is extensively validated in animal models (controlling expression level is the main caveat).
Purple Book,epoetin alfa,Epogen / Procrit,Anemia of CKD (non-dialysis),Hematology – Anemia,Enzyme / Protein Replacement,EPOR,1,50–200 IU/kg SC,3 times per week,Indefinite,165,30400,High,Recombinant erythropoietin (~0.5 kb); AAV-EPO is extensively validated in animal models (controlling expression level is the main caveat).
Purple Book,filgrastim,Neupogen / Granix,Severe chronic neutropenia (SCN),Hematology – Rare Blood,Enzyme / Protein Replacement,CSF3R,0.5,6–12 mcg/kg SC daily,Daily,Lifelong (congenital neutropenia),175,18800,High,Recombinant G-CSF (~0.5 kb); a natural secreted cytokine that AAV can express to treat chronic neutropenia.
Purple Book,sacrosidase,Sucraid,Congenital sucrase-isomaltase deficiency (CSID),Enzyme Deficiency,Enzyme / Protein Replacement,SI,0.1,1–2 mL (8500 IU/mL) per meal (weight-adjusted),With every meal,Lifelong,513,100000,Low,Yeast-derived oral sucrase acting in the intestinal lumen; a non-human enzyme delivered by the wrong route for AAV.
Purple Book,pancrelipase,Creon / Zenpep / Pancreaze,Exocrine pancreatic insufficiency (EPI),Enzyme Deficiency,Enzyme / Protein Replacement,PNLIP,1.5,500–2500 lipase IU/kg per meal (individualized),With every meal and snack,Lifelong,,,Low,Porcine digestive-enzyme mixture acting in the gut lumen; no single gene and the wrong delivery route for AAV.
